price,name,brand,seller_name,seller_rating,url,rating,screen_size,resolution,panel_type,android
177000,"hisense 43"" inches smart tv",Hisense,Eight Sage Limited,94,https://www.jumia.com.ng/hisense-43-inches-smart-tv-with-wall-bracket-43a4g-lagos-delivery-only-85978656.html,0.0,43,fhd,,no
131900,polystar 40 inch smart curved led tv,Polystar,ChuksKen global resources,100,https://www.jumia.com.ng/polystar-40-inch-smart-curved-led-tv-with-netflix-1yr-warranty-227839074.html,0.0,40,fhd,led,no
100000,weyon 32 inches led tv,WEYON,glitzz.collection,60,https://www.jumia.com.ng/weyon-32-inches-led-tv-210117334.html,0.0,32,hd,led,no
110000,"polystar 32"" inch smart curved tv",Polystar,Prosmira Ltd,74,https://www.jumia.com.ng/polystar-32-inch-smart-curved-tv-with-netflix-1year-warranty-70177030.html,5.0,32,uhd,led,no
290000,samsung 40 inch premium smart led tv,Samsung,Bryan's store,100,https://www.jumia.com.ng/samsung-40-inch-premium-smart-led-tv-66435632.html,0.0,40,fhd,led,no
133000,polystar 40 inches android smart curved tv,Polystar,ChuksKen global resources,100,https://www.jumia.com.ng/polystar-40-inches-android-smart-curved-tv-with-free-hanger-227241478.html,0.0,40,hd,,yes
187000,hisense 40” smart frameless tv,Hisense,electroandgadget,98,https://www.jumia.com.ng/hisense-40-smart-frameless-tvnetflixyoutube-app-128940720.html,0.0,40,fhd,,no
129990,"infinity 43"" smart tv",Infinity,Video masters ltd,50,https://www.jumia.com.ng/infinity-43-smart-tv-netflix-youtubefree-wall-hanger-promo-123025216.html,0.0,43,fhd,led,no
125000,polystar 32-inch smart tv,Polystar,Niceprice Electronics,100,https://www.jumia.com.ng/32-inch-smart-tv-polystar-mpg199034.html,5.0,32,hd,,no
214000,lg 43 inch lm6300tv,LG,Homewarehouse,60,https://www.jumia.com.ng/43-inch-lm6300-lg-mpg1602068.html,0.0,43,fhd,,no
